epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1398.83,1.55789,1.32857,1.10571,0.39869,0.32408,0.31088,0.18043,1.52818,1.288,1.09384,0.03226,0.03226,0.03226
45,1425.08,1.54867,1.32797,1.11035,0.41783,0.31305,0.31169,0.18103,1.52008,1.27379,1.08949,0.03208,0.03208,0.03208
46,1455.46,1.54493,1.3187,1.10336,0.41117,0.31008,0.30649,0.1807,1.51547,1.29278,1.08838,0.0319,0.0319,0.0319
47,1482.06,1.55393,1.30451,1.10539,0.41123,0.32123,0.31584,0.18402,1.51287,1.26752,1.08988,0.03172,0.03172,0.03172
48,1508.22,1.54073,1.29632,1.10266,0.41594,0.32563,0.32063,0.18712,1.51403,1.25464,1.08904,0.03154,0.03154,0.03154
49,1534.33,1.54248,1.30784,1.10083,0.42674,0.30833,0.31191,0.18225,1.51026,1.26286,1.08809,0.03136,0.03136,0.03136
50,1563.03,1.52863,1.28186,1.09284,0.41877,0.32219,0.31876,0.18656,1.50473,1.25452,1.08551,0.03118,0.03118,0.03118
51,1588.9,1.5354,1.28851,1.09831,0.41774,0.32584,0.31953,0.18734,1.49714,1.25135,1.09069,0.031,0.031,0.031
52,1617.07,1.54117,1.29844,1.09968,0.41834,0.33379,0.32657,0.19019,1.49451,1.24169,1.07907,0.03082,0.03082,0.03082
53,1645.23,1.55264,1.30216,1.10114,0.42032,0.31966,0.31998,0.1874,1.49688,1.25246,1.07965,0.03064,0.03064,0.03064
54,1673.51,1.51376,1.28631,1.09379,0.42862,0.33077,0.33027,0.19363,1.48681,1.23521,1.07455,0.03046,0.03046,0.03046
55,1700.34,1.56198,1.30691,1.09809,0.4265,0.32956,0.32539,0.19097,1.49132,1.2294,1.07464,0.03028,0.03028,0.03028
56,1726.33,1.53355,1.28722,1.0942,0.4394,0.33188,0.32984,0.1927,1.48848,1.23334,1.07782,0.0301,0.0301,0.0301
57,1753.9,1.53509,1.27665,1.09802,0.41477,0.3403,0.33077,0.1938,1.47883,1.2271,1.07277,0.02992,0.02992,0.02992
58,1781.92,1.56411,1.30689,1.10527,0.41924,0.33035,0.32304,0.18816,1.4909,1.23576,1.07881,0.02974,0.02974,0.02974
59,1808.67,1.5339,1.29566,1.09145,0.44054,0.32937,0.3316,0.19344,1.48162,1.22854,1.07017,0.02956,0.02956,0.02956
60,1834.81,1.52073,1.25776,1.08649,0.4267,0.33779,0.33456,0.19522,1.47838,1.22287,1.07063,0.02938,0.02938,0.02938
61,1863.47,1.53768,1.28759,1.09079,0.43139,0.33289,0.33343,0.19585,1.47618,1.22211,1.07005,0.0292,0.0292,0.0292
62,1890.59,1.52449,1.27426,1.09244,0.43733,0.34155,0.33617,0.19735,1.47504,1.21216,1.06873,0.02902,0.02902,0.02902
63,1918.01,1.49512,1.24681,1.08365,0.42854,0.34469,0.33704,0.19757,1.47282,1.21422,1.06838,0.02884,0.02884,0.02884
64,1944.66,1.52073,1.28163,1.09001,0.42196,0.3448,0.33533,0.19678,1.47389,1.21135,1.06895,0.02866,0.02866,0.02866
65,1972.21,1.50663,1.25931,1.08582,0.42991,0.33948,0.33738,0.19916,1.47168,1.20441,1.06782,0.02848,0.02848,0.02848
66,1998.11,1.52098,1.25189,1.08131,0.42793,0.34087,0.33828,0.20011,1.4661,1.20901,1.06384,0.0283,0.0283,0.0283
67,2025.78,1.52904,1.26373,1.08365,0.44361,0.33118,0.33396,0.19667,1.46484,1.2096,1.06449,0.02812,0.02812,0.02812
68,2051.64,1.50624,1.24389,1.07738,0.42256,0.34583,0.33547,0.19869,1.47049,1.20734,1.06258,0.02794,0.02794,0.02794
69,2078.89,1.50741,1.24686,1.07525,0.43004,0.34041,0.33627,0.19888,1.46652,1.20433,1.06593,0.02776,0.02776,0.02776
70,2106.21,1.51738,1.25587,1.08938,0.42506,0.3463,0.33864,0.19955,1.4657,1.20219,1.06478,0.02758,0.02758,0.02758
71,2132.34,1.5179,1.25481,1.07884,0.44497,0.34339,0.34303,0.20189,1.46526,1.19557,1.06368,0.0274,0.0274,0.0274
72,2157.96,1.50408,1.24271,1.07805,0.43886,0.34406,0.34223,0.2011,1.46446,1.19541,1.06451,0.02722,0.02722,0.02722
73,2183.72,1.53102,1.26043,1.08534,0.44756,0.34224,0.34314,0.20214,1.45935,1.19594,1.06151,0.02704,0.02704,0.02704
74,2209.45,1.49346,1.22643,1.0714,0.45121,0.34444,0.34583,0.20511,1.45479,1.19194,1.05739,0.02686,0.02686,0.02686
75,2235.13,1.51787,1.24236,1.07627,0.43809,0.34554,0.34167,0.20189,1.45983,1.19859,1.06319,0.02668,0.02668,0.02668
76,2261.57,1.49679,1.2281,1.06868,0.4415,0.34444,0.34611,0.20566,1.45632,1.18875,1.05814,0.0265,0.0265,0.0265
77,2287.75,1.52163,1.24268,1.07272,0.43732,0.34675,0.34299,0.20275,1.46118,1.20043,1.06019,0.02632,0.02632,0.02632
78,2313.64,1.51292,1.26714,1.07212,0.45323,0.3458,0.34576,0.20471,1.45846,1.19189,1.0576,0.02614,0.02614,0.02614
79,2340.16,1.50754,1.2343,1.07544,0.44159,0.3498,0.34699,0.20547,1.45703,1.19373,1.05726,0.02596,0.02596,0.02596
80,2366.65,1.50014,1.23805,1.07125,0.44243,0.35397,0.35132,0.20793,1.45603,1.18744,1.0574,0.02578,0.02578,0.02578
81,2393.05,1.5259,1.24759,1.08009,0.45606,0.34963,0.35022,0.20746,1.45377,1.18683,1.055,0.0256,0.0256,0.0256
82,2420.79,1.51602,1.23657,1.07084,0.44875,0.35229,0.35221,0.20772,1.45456,1.18288,1.05604,0.02542,0.02542,0.02542
83,2447.87,1.49845,1.23128,1.07024,0.45275,0.35234,0.35066,0.20782,1.45418,1.18467,1.05555,0.02524,0.02524,0.02524
84,2473.75,1.50314,1.23123,1.06848,0.45121,0.35321,0.35295,0.20859,1.45163,1.1836,1.05505,0.02506,0.02506,0.02506
85,2499.5,1.51486,1.23673,1.07311,0.45439,0.3495,0.35083,0.20789,1.4527,1.18216,1.05284,0.02488,0.02488,0.02488
86,2525.61,1.50033,1.23513,1.07123,0.46461,0.34258,0.35006,0.20872,1.45091,1.18254,1.05272,0.0247,0.0247,0.0247
87,2553.11,1.49866,1.22381,1.07048,0.46223,0.34698,0.35418,0.21009,1.45221,1.17762,1.05381,0.02452,0.02452,0.02452
88,2579.41,1.48866,1.21958,1.0635,0.44495,0.35383,0.35587,0.21063,1.44865,1.17562,1.05174,0.02434,0.02434,0.02434
89,2606.37,1.51023,1.23596,1.07152,0.45491,0.35174,0.3537,0.20977,1.44978,1.1763,1.05151,0.02416,0.02416,0.02416
90,2632.22,1.50276,1.23954,1.07153,0.45964,0.34651,0.35321,0.21032,1.44513,1.17922,1.0497,0.02398,0.02398,0.02398
91,2657.62,1.49681,1.22038,1.06916,0.45248,0.35851,0.35746,0.21143,1.44342,1.16967,1.05061,0.0238,0.0238,0.0238
92,2684.41,1.4771,1.196,1.06043,0.4542,0.35446,0.35733,0.21163,1.44639,1.17173,1.04887,0.02362,0.02362,0.02362
93,2710.18,1.51286,1.23065,1.06787,0.46333,0.35743,0.35751,0.21275,1.4449,1.1679,1.04952,0.02344,0.02344,0.02344
94,2735.86,1.48751,1.2163,1.06148,0.46388,0.35132,0.35581,0.21183,1.4464,1.17401,1.04918,0.02326,0.02326,0.02326
95,2763.05,1.48386,1.20413,1.0631,0.44952,0.35599,0.35645,0.21226,1.44674,1.17193,1.04908,0.02308,0.02308,0.02308
96,2789.03,1.48865,1.21359,1.06263,0.46123,0.3522,0.35734,0.21363,1.44625,1.17127,1.04908,0.0229,0.0229,0.0229
97,2814.48,1.50096,1.22416,1.06781,0.46719,0.35255,0.35703,0.21345,1.44699,1.17438,1.04875,0.02272,0.02272,0.02272
98,2840.32,1.50861,1.2325,1.07124,0.46183,0.35833,0.35972,0.21517,1.44485,1.16866,1.0481,0.02254,0.02254,0.02254
99,2866.1,1.48708,1.20881,1.0637,0.44995,0.36205,0.35904,0.21405,1.44163,1.16689,1.04742,0.02236,0.02236,0.02236
100,2892.65,1.48271,1.20457,1.06024,0.45049,0.36133,0.35891,0.21369,1.44082,1.16589,1.04609,0.02218,0.02218,0.02218
101,2918.49,1.47772,1.19526,1.06153,0.45254,0.35864,0.35812,0.21353,1.44091,1.16638,1.04574,0.022,0.022,0.022
102,2947.29,1.48178,1.20458,1.05695,0.45316,0.35744,0.35679,0.21295,1.44005,1.16435,1.04547,0.02182,0.02182,0.02182
103,2973.97,1.49665,1.21701,1.0638,0.45275,0.35872,0.3586,0.21387,1.43955,1.16354,1.04593,0.02164,0.02164,0.02164
104,3003.09,1.48248,1.20466,1.06068,0.44937,0.36219,0.35864,0.214,1.4403,1.16395,1.04606,0.02146,0.02146,0.02146
105,3030.33,1.49516,1.2106,1.05528,0.45729,0.36201,0.36205,0.21553,1.43751,1.16175,1.04409,0.02128,0.02128,0.02128
106,3059.38,1.4841,1.19731,1.06077,0.46047,0.36242,0.36322,0.21606,1.43625,1.16083,1.04451,0.0211,0.0211,0.0211
107,3085.4,1.49315,1.20211,1.05762,0.46071,0.36018,0.36416,0.21645,1.43372,1.1588,1.04345,0.02092,0.02092,0.02092
108,3113.1,1.50448,1.20756,1.06136,0.4623,0.3602,0.3639,0.21656,1.43497,1.15773,1.04335,0.02074,0.02074,0.02074
109,3140.72,1.45058,1.16499,1.05237,0.46798,0.35681,0.36418,0.21683,1.43447,1.15785,1.04344,0.02056,0.02056,0.02056
110,3167.25,1.4807,1.19236,1.0628,0.4709,0.35532,0.36329,0.21692,1.43562,1.15871,1.04316,0.02038,0.02038,0.02038
111,3194.5,1.4716,1.18562,1.05128,0.46718,0.35843,0.36474,0.21736,1.43609,1.15965,1.04335,0.0202,0.0202,0.0202
112,3223.27,1.46228,1.18791,1.04707,0.46197,0.36038,0.36532,0.21778,1.4352,1.15847,1.04286,0.02002,0.02002,0.02002
113,3249.09,1.49292,1.20618,1.05973,0.46964,0.35716,0.36556,0.21817,1.43432,1.1573,1.04241,0.01984,0.01984,0.01984
114,3276.47,1.48069,1.19798,1.05932,0.4594,0.35995,0.365,0.21782,1.43518,1.15796,1.04315,0.01966,0.01966,0.01966
115,3302.25,1.4648,1.18174,1.05417,0.46593,0.36266,0.36613,0.2186,1.43314,1.1559,1.04223,0.01948,0.01948,0.01948
116,3327.9,1.45165,1.16902,1.04644,0.46689,0.35984,0.36543,0.21818,1.43256,1.155,1.04151,0.0193,0.0193,0.0193
117,3353.59,1.47736,1.17925,1.05541,0.46516,0.36224,0.36634,0.21855,1.43288,1.15391,1.04143,0.01912,0.01912,0.01912
118,3379.98,1.47463,1.18681,1.05091,0.46381,0.36221,0.36697,0.21861,1.4321,1.15432,1.04128,0.01894,0.01894,0.01894
119,3405.97,1.47123,1.18839,1.05337,0.4635,0.36047,0.36696,0.21834,1.43278,1.15354,1.04111,0.01876,0.01876,0.01876
120,3431.93,1.48038,1.18824,1.05663,0.47101,0.35846,0.36704,0.21846,1.43256,1.15389,1.04101,0.01858,0.01858,0.01858
121,3459.42,1.46318,1.1735,1.0509,0.47539,0.35435,0.36667,0.2185,1.43202,1.15358,1.04058,0.0184,0.0184,0.0184
122,3486.07,1.45783,1.16534,1.05781,0.47118,0.35731,0.3673,0.21879,1.43218,1.15289,1.04055,0.01822,0.01822,0.01822
123,3512.09,1.46788,1.17444,1.04747,0.47961,0.35464,0.36823,0.21915,1.43129,1.15182,1.04028,0.01804,0.01804,0.01804
124,3538,1.48196,1.19958,1.0524,0.47595,0.358,0.36828,0.21911,1.42998,1.14973,1.03986,0.01786,0.01786,0.01786
125,3563.73,1.47871,1.1863,1.05164,0.4802,0.35661,0.368,0.21896,1.42993,1.15018,1.03956,0.01768,0.01768,0.01768
126,3589.79,1.46511,1.17516,1.05026,0.47955,0.3574,0.36832,0.21961,1.42856,1.14959,1.03907,0.0175,0.0175,0.0175
127,3615.47,1.47203,1.1808,1.04555,0.47372,0.36004,0.36789,0.21921,1.42745,1.14872,1.03892,0.01732,0.01732,0.01732
128,3642.74,1.4822,1.18866,1.05021,0.47491,0.35959,0.36788,0.21962,1.42692,1.1474,1.03855,0.01714,0.01714,0.01714
129,3669.13,1.46772,1.16882,1.0535,0.47531,0.35941,0.36773,0.21942,1.42676,1.14716,1.03845,0.01696,0.01696,0.01696
130,3694.7,1.46108,1.15896,1.04654,0.47146,0.36239,0.36849,0.21976,1.42693,1.14645,1.03852,0.01678,0.01678,0.01678
131,3720.68,1.46205,1.16633,1.0486,0.47378,0.36052,0.36921,0.21979,1.42629,1.14548,1.03806,0.0166,0.0166,0.0166
132,3749.69,1.45626,1.15805,1.0477,0.47479,0.36164,0.3693,0.21992,1.42552,1.14516,1.03757,0.01642,0.01642,0.01642
133,3776.51,1.46904,1.17036,1.05267,0.47223,0.36243,0.36902,0.2199,1.42531,1.1451,1.03747,0.01624,0.01624,0.01624
134,3802.07,1.46751,1.1807,1.0513,0.47587,0.36198,0.36959,0.22042,1.4252,1.14388,1.03745,0.01606,0.01606,0.01606
135,3827.81,1.4702,1.16312,1.0489,0.48465,0.35704,0.37059,0.22088,1.42543,1.14423,1.03733,0.01588,0.01588,0.01588
136,3853.52,1.47468,1.16933,1.04819,0.48591,0.35565,0.37024,0.22055,1.42532,1.1437,1.03717,0.0157,0.0157,0.0157
137,3878.98,1.46351,1.16853,1.04835,0.47713,0.36159,0.37169,0.22153,1.42378,1.14277,1.03661,0.01552,0.01552,0.01552
138,3904.78,1.44668,1.15584,1.04154,0.47822,0.36107,0.37114,0.22144,1.42357,1.14219,1.03655,0.01534,0.01534,0.01534
139,3930.74,1.45633,1.16953,1.04198,0.48144,0.36012,0.37131,0.22134,1.42307,1.1418,1.03633,0.01516,0.01516,0.01516
140,3956.14,1.47353,1.16792,1.05235,0.47865,0.3605,0.37201,0.22157,1.42333,1.1421,1.03647,0.01498,0.01498,0.01498
141,3983.61,1.44832,1.1503,1.04517,0.48326,0.35869,0.37212,0.22178,1.42264,1.14135,1.03624,0.0148,0.0148,0.0148
142,4009.62,1.44926,1.15138,1.04623,0.48627,0.35697,0.37248,0.22198,1.42225,1.14055,1.03593,0.01462,0.01462,0.01462
143,4035.39,1.45581,1.15963,1.04497,0.4868,0.35783,0.37261,0.22208,1.4224,1.14038,1.03584,0.01444,0.01444,0.01444
144,4062.18,1.44829,1.14202,1.03868,0.4845,0.35897,0.37277,0.22212,1.42254,1.14028,1.03588,0.01426,0.01426,0.01426
145,4088.37,1.43711,1.14095,1.03705,0.48275,0.35985,0.37323,0.22247,1.42286,1.13974,1.03581,0.01408,0.01408,0.01408
146,4113.67,1.43299,1.13861,1.03801,0.48162,0.36012,0.37323,0.22287,1.42252,1.13983,1.03576,0.0139,0.0139,0.0139
147,4139.94,1.45049,1.13962,1.03389,0.4816,0.36145,0.37358,0.22297,1.42186,1.13955,1.03536,0.01372,0.01372,0.01372
148,4167.08,1.45566,1.15581,1.04104,0.48673,0.36073,0.37374,0.22315,1.42169,1.13908,1.03525,0.01354,0.01354,0.01354
149,4192.41,1.44285,1.14317,1.03933,0.48649,0.35957,0.37402,0.22353,1.42202,1.13945,1.03524,0.01336,0.01336,0.01336
150,4218.01,1.44441,1.13375,1.04033,0.48877,0.35764,0.37412,0.22361,1.42227,1.13967,1.03514,0.01318,0.01318,0.01318
151,4243.2,1.45045,1.14396,1.04215,0.48964,0.35699,0.37463,0.22371,1.42189,1.13935,1.03496,0.013,0.013,0.013
152,4269.16,1.43705,1.13064,1.03204,0.48961,0.35697,0.37478,0.22387,1.42159,1.13881,1.03478,0.01282,0.01282,0.01282
153,4296.85,1.44927,1.15037,1.03964,0.48932,0.35929,0.37545,0.2245,1.42125,1.1388,1.03465,0.01264,0.01264,0.01264
154,4324.05,1.44885,1.1347,1.03475,0.48482,0.36039,0.37516,0.22443,1.42126,1.13866,1.03461,0.01246,0.01246,0.01246
155,4350.13,1.42846,1.12693,1.03154,0.48505,0.35931,0.37532,0.2245,1.42115,1.13859,1.03441,0.01228,0.01228,0.01228
156,4375.99,1.45056,1.13843,1.03488,0.48266,0.36077,0.37575,0.22465,1.42036,1.13848,1.03412,0.0121,0.0121,0.0121
157,4401.98,1.414,1.11216,1.03155,0.48429,0.36141,0.37615,0.22478,1.42006,1.13807,1.03388,0.01192,0.01192,0.01192
158,4428.61,1.42782,1.12157,1.03674,0.48646,0.35974,0.37601,0.22476,1.41973,1.13768,1.03375,0.01174,0.01174,0.01174
159,4456.22,1.43641,1.10735,1.02882,0.48533,0.3613,0.37625,0.225,1.41992,1.13728,1.03367,0.01156,0.01156,0.01156
160,4481.95,1.42579,1.10422,1.03614,0.48432,0.36125,0.37614,0.22499,1.41997,1.13742,1.03369,0.01138,0.01138,0.01138
