epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1094.28,1.57815,1.33086,1.12722,0.39544,0.31822,0.30249,0.1756,1.52684,1.27718,1.1009,0.03226,0.03226,0.03226
45,1115.68,1.57007,1.32929,1.13384,0.40004,0.32144,0.31028,0.17896,1.52029,1.26492,1.10045,0.03208,0.03208,0.03208
46,1138.85,1.56427,1.32823,1.12525,0.42246,0.31827,0.315,0.18138,1.52526,1.27443,1.10075,0.0319,0.0319,0.0319
47,1159.65,1.56948,1.31219,1.12645,0.40138,0.31184,0.30444,0.17576,1.53357,1.28419,1.10204,0.03172,0.03172,0.03172
48,1180.73,1.56481,1.30891,1.1269,0.41532,0.31961,0.31547,0.18295,1.52523,1.26454,1.1009,0.03154,0.03154,0.03154
49,1200.02,1.56269,1.31463,1.12528,0.40813,0.32205,0.31668,0.18481,1.51141,1.2577,1.09511,0.03136,0.03136,0.03136
50,1220.01,1.55111,1.29592,1.11616,0.41421,0.31843,0.31098,0.18069,1.51655,1.26008,1.09128,0.03118,0.03118,0.03118
51,1239.24,1.55313,1.29132,1.11854,0.42272,0.3241,0.31793,0.18546,1.50605,1.25131,1.09506,0.031,0.031,0.031
52,1259.66,1.5639,1.30588,1.1224,0.41904,0.32218,0.32026,0.18617,1.50516,1.25228,1.09336,0.03082,0.03082,0.03082
53,1279.58,1.57127,1.30588,1.12168,0.42144,0.32687,0.32242,0.18804,1.50265,1.2473,1.09408,0.03064,0.03064,0.03064
54,1298.99,1.53278,1.28914,1.11356,0.42465,0.32841,0.32605,0.18957,1.49721,1.24115,1.08642,0.03046,0.03046,0.03046
55,1317.93,1.5789,1.30428,1.11818,0.41733,0.33035,0.32376,0.18972,1.50333,1.2385,1.08992,0.03028,0.03028,0.03028
56,1337,1.54906,1.28568,1.11334,0.42842,0.32649,0.32444,0.18866,1.49388,1.24482,1.08717,0.0301,0.0301,0.0301
57,1356.31,1.55943,1.28431,1.12297,0.42804,0.33269,0.32822,0.1918,1.49432,1.23066,1.08487,0.02992,0.02992,0.02992
58,1375.27,1.58099,1.31026,1.12492,0.42009,0.33129,0.32465,0.19045,1.49408,1.23165,1.08428,0.02974,0.02974,0.02974
59,1397.9,1.55455,1.29443,1.11209,0.43355,0.32664,0.32657,0.19017,1.49258,1.23267,1.08293,0.02956,0.02956,0.02956
60,1418.46,1.53888,1.26316,1.10564,0.42507,0.32955,0.32608,0.18959,1.49017,1.23007,1.08456,0.02938,0.02938,0.02938
61,1438.3,1.55396,1.28328,1.11051,0.42906,0.33426,0.32877,0.19137,1.49549,1.23011,1.08248,0.0292,0.0292,0.0292
62,1457.75,1.54516,1.27894,1.11529,0.42843,0.32992,0.32712,0.19184,1.48574,1.21998,1.07734,0.02902,0.02902,0.02902
63,1478.09,1.51085,1.24759,1.10354,0.43361,0.33657,0.33051,0.19565,1.48065,1.21752,1.07713,0.02884,0.02884,0.02884
64,1497.73,1.54116,1.27722,1.11158,0.44407,0.32912,0.33297,0.19564,1.48946,1.21773,1.07935,0.02866,0.02866,0.02866
65,1517.51,1.52961,1.25971,1.10859,0.42232,0.33432,0.33017,0.19474,1.47676,1.21699,1.0744,0.02848,0.02848,0.02848
66,1540.59,1.53741,1.2518,1.10057,0.43402,0.33248,0.33395,0.197,1.48065,1.21366,1.07562,0.0283,0.0283,0.0283
67,1559.12,1.54186,1.2621,1.102,0.4326,0.33329,0.33313,0.19575,1.48403,1.21726,1.07871,0.02812,0.02812,0.02812
68,1581.11,1.522,1.24145,1.09642,0.42602,0.33342,0.32959,0.19467,1.48076,1.20926,1.07484,0.02794,0.02794,0.02794
69,1602.51,1.52441,1.24456,1.09493,0.44111,0.33693,0.33532,0.19641,1.48085,1.21159,1.07571,0.02776,0.02776,0.02776
70,1621.49,1.53683,1.25504,1.10901,0.43293,0.33983,0.33214,0.1957,1.47669,1.21016,1.07444,0.02758,0.02758,0.02758
71,1640.32,1.53638,1.253,1.09973,0.44042,0.33367,0.33374,0.19588,1.47715,1.21449,1.07798,0.0274,0.0274,0.0274
72,1658.79,1.51965,1.23556,1.09551,0.43726,0.34241,0.33952,0.19926,1.472,1.19757,1.07203,0.02722,0.02722,0.02722
73,1677.61,1.54631,1.25591,1.103,0.44266,0.33872,0.33795,0.19882,1.47002,1.20127,1.07104,0.02704,0.02704,0.02704
74,1695.95,1.50507,1.22309,1.09106,0.45146,0.3364,0.34121,0.20116,1.47099,1.19073,1.07115,0.02686,0.02686,0.02686
75,1714.76,1.53321,1.24147,1.09418,0.446,0.33855,0.34247,0.20233,1.46727,1.19564,1.06871,0.02668,0.02668,0.02668
76,1733.29,1.51228,1.22643,1.08758,0.44669,0.33991,0.34059,0.20072,1.47013,1.19604,1.0696,0.0265,0.0265,0.0265
77,1752,1.53365,1.23892,1.09115,0.45234,0.34338,0.3425,0.20164,1.46466,1.19608,1.07006,0.02632,0.02632,0.02632
78,1770.82,1.52588,1.26081,1.09276,0.44214,0.34727,0.34216,0.20143,1.47005,1.19225,1.06834,0.02614,0.02614,0.02614
79,1790.63,1.518,1.22514,1.0932,0.44436,0.34419,0.34193,0.2018,1.46837,1.19271,1.06904,0.02596,0.02596,0.02596
80,1809.5,1.50709,1.22553,1.08692,0.4461,0.34398,0.34561,0.20252,1.46759,1.18798,1.06797,0.02578,0.02578,0.02578
81,1828.62,1.52975,1.23603,1.09462,0.45399,0.34028,0.34376,0.2029,1.46343,1.18941,1.06693,0.0256,0.0256,0.0256
82,1846.92,1.52591,1.2269,1.08895,0.45023,0.3423,0.34521,0.20373,1.46261,1.18164,1.06811,0.02542,0.02542,0.02542
83,1867.48,1.50676,1.22171,1.0876,0.44084,0.34908,0.34579,0.2039,1.46091,1.18569,1.06705,0.02524,0.02524,0.02524
84,1886.35,1.50892,1.22341,1.08512,0.45086,0.34533,0.3466,0.20496,1.45867,1.18581,1.06479,0.02506,0.02506,0.02506
85,1904.97,1.52346,1.22645,1.09041,0.44875,0.34707,0.34457,0.20469,1.45672,1.18067,1.06388,0.02488,0.02488,0.02488
86,1924.59,1.50652,1.22829,1.08764,0.44451,0.34619,0.34466,0.20429,1.45764,1.17908,1.06453,0.0247,0.0247,0.0247
87,1944.34,1.50733,1.21061,1.0895,0.44311,0.34559,0.3452,0.20464,1.45923,1.18131,1.06379,0.02452,0.02452,0.02452
88,1963.36,1.4999,1.20927,1.08404,0.44938,0.34401,0.34723,0.20563,1.4592,1.18048,1.06398,0.02434,0.02434,0.02434
89,1982.8,1.5154,1.22673,1.08822,0.44805,0.35137,0.35163,0.20788,1.45845,1.17343,1.06377,0.02416,0.02416,0.02416
90,2001.91,1.51666,1.22845,1.09087,0.46087,0.34596,0.35009,0.20642,1.45873,1.17467,1.06397,0.02398,0.02398,0.02398
91,2021.71,1.506,1.21647,1.08744,0.4564,0.34752,0.34757,0.20616,1.45866,1.17432,1.06331,0.0238,0.0238,0.0238
92,2040.31,1.48429,1.19075,1.07874,0.44942,0.3477,0.34892,0.20763,1.45298,1.17217,1.06135,0.02362,0.02362,0.02362
93,2059.2,1.51624,1.21403,1.08519,0.44977,0.34881,0.34824,0.20673,1.45664,1.1731,1.06245,0.02344,0.02344,0.02344
94,2077.76,1.4964,1.20311,1.08035,0.45646,0.34729,0.34986,0.20836,1.4529,1.17233,1.06181,0.02326,0.02326,0.02326
95,2096.34,1.49305,1.19504,1.08046,0.45336,0.34765,0.34807,0.20717,1.45424,1.17405,1.06237,0.02308,0.02308,0.02308
96,2115.14,1.49728,1.19754,1.08137,0.45438,0.34763,0.3491,0.20749,1.45419,1.17312,1.06159,0.0229,0.0229,0.0229
97,2133.78,1.50904,1.20838,1.08733,0.46015,0.34636,0.35081,0.20871,1.45164,1.17132,1.06106,0.02272,0.02272,0.02272
98,2152.65,1.51319,1.21861,1.08812,0.45846,0.35105,0.35305,0.20962,1.45344,1.16879,1.05994,0.02254,0.02254,0.02254
