epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3083.75,1.51049,1.22819,1.19857,0.41898,0.33455,0.33142,0.19684,1.48526,1.22711,1.16153,0.03244,0.03244,0.03244
44,3155.51,1.51725,1.23577,1.19281,0.44978,0.33065,0.33707,0.19764,1.48665,1.22493,1.16995,0.03226,0.03226,0.03226
45,3225.99,1.50758,1.24761,1.20677,0.44903,0.33871,0.34136,0.20243,1.47492,1.20402,1.15539,0.03208,0.03208,0.03208
46,3298.14,1.49876,1.23108,1.19287,0.45687,0.33371,0.34439,0.20265,1.48959,1.21845,1.16176,0.0319,0.0319,0.0319
47,3366.93,1.50853,1.22406,1.19567,0.45902,0.34099,0.34657,0.20413,1.47522,1.20027,1.15776,0.03172,0.03172,0.03172
48,3436.92,1.50236,1.21967,1.19905,0.44351,0.34136,0.34229,0.20259,1.48894,1.21161,1.15878,0.03154,0.03154,0.03154
49,3506.47,1.50496,1.23155,1.19566,0.44136,0.34719,0.34562,0.20479,1.47252,1.20773,1.15808,0.03136,0.03136,0.03136
50,3576.2,1.4889,1.20374,1.18335,0.45066,0.3419,0.34689,0.20453,1.47167,1.20789,1.15523,0.03118,0.03118,0.03118
51,3645.6,1.48893,1.20086,1.18859,0.45169,0.34507,0.3457,0.20517,1.46053,1.18802,1.15204,0.031,0.031,0.031
52,3715.16,1.49656,1.21153,1.19122,0.47048,0.33529,0.35203,0.20993,1.45743,1.18886,1.14917,0.03082,0.03082,0.03082
53,3783.74,1.51023,1.21369,1.19298,0.45014,0.34749,0.34986,0.2097,1.46112,1.18943,1.14909,0.03064,0.03064,0.03064
54,3852.01,1.46633,1.1932,1.18882,0.46431,0.34224,0.35162,0.20903,1.46062,1.1835,1.15024,0.03046,0.03046,0.03046
55,3920.36,1.5148,1.21764,1.18535,0.47157,0.35335,0.35739,0.21218,1.45062,1.17407,1.14542,0.03028,0.03028,0.03028
56,3988.52,1.48668,1.20075,1.18801,0.46672,0.36064,0.36452,0.21591,1.45094,1.16417,1.14537,0.0301,0.0301,0.0301
57,4056.29,1.49744,1.19388,1.19886,0.46314,0.35554,0.35983,0.21254,1.44728,1.17581,1.14366,0.02992,0.02992,0.02992
58,4124.42,1.52365,1.22227,1.20005,0.45676,0.3453,0.35333,0.20983,1.45279,1.17679,1.14556,0.02974,0.02974,0.02974
59,4193.59,1.48984,1.20381,1.18111,0.46009,0.35489,0.36121,0.21412,1.43939,1.16559,1.14142,0.02956,0.02956,0.02956
60,4262.84,1.47309,1.16578,1.18075,0.47448,0.35297,0.36269,0.21432,1.44786,1.1615,1.14386,0.02938,0.02938,0.02938
61,4330.83,1.49106,1.19709,1.18172,0.47087,0.35529,0.36433,0.21595,1.44661,1.16241,1.14301,0.0292,0.0292,0.0292
62,4398.71,1.47977,1.17682,1.18583,0.46308,0.35578,0.35972,0.21428,1.43722,1.16428,1.13788,0.02902,0.02902,0.02902
63,4466.17,1.44706,1.15544,1.17857,0.48002,0.35915,0.3664,0.21728,1.43978,1.15072,1.14095,0.02884,0.02884,0.02884
64,4535.3,1.47667,1.18839,1.18584,0.47141,0.36001,0.36437,0.21718,1.43467,1.15384,1.13672,0.02866,0.02866,0.02866
