                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                 1.4031,                0.93794,                 1.1656,                0.62207,                 0.4098,                 0.4292,                 0.2578,                 1.5671,                 1.1473,                 1.1978,               0.003025,               0.003025,               0.003025
                    157,                 1.3576,                0.91285,                 1.1708,                0.66692,                0.40338,                0.43244,                0.26049,                 1.5571,                 1.1387,                 1.1894,                0.00298,                0.00298,                0.00298
                    158,                 1.3845,                0.91926,                 1.1543,                0.65079,                 0.4068,                0.43291,                0.26214,                 1.5523,                 1.1438,                 1.1919,               0.002935,               0.002935,               0.002935
                    159,                 1.3778,                0.93312,                 1.1606,                0.64513,                0.40657,                0.43148,                 0.2611,                 1.5504,                 1.1482,                 1.1887,                0.00289,                0.00289,                0.00289
                    160,                  1.357,                0.92626,                 1.1654,                0.63399,                0.41299,                0.43284,                0.25997,                 1.5571,                 1.1447,                 1.1909,               0.002845,               0.002845,               0.002845
                    161,                 1.3545,                0.90236,                 1.1645,                0.68625,                0.40708,                0.43556,                0.26133,                 1.5603,                 1.1373,                 1.1925,                 0.0028,                 0.0028,                 0.0028
                    162,                 1.3715,                0.92115,                 1.1687,                0.67813,                0.39803,                 0.4317,                0.26073,                 1.5672,                 1.1462,                 1.1926,               0.002755,               0.002755,               0.002755
                    163,                 1.3374,                0.90792,                 1.1637,                0.68338,                0.40531,                0.43731,                 0.2647,                 1.5757,                 1.1393,                 1.1969,                0.00271,                0.00271,                0.00271
                    164,                 1.3454,                0.91555,                 1.1558,                0.66505,                0.40438,                0.43264,                0.26616,                 1.5451,                 1.1335,                 1.1886,               0.002665,               0.002665,               0.002665
                    165,                  1.348,                0.89746,                 1.1583,                  0.608,                0.41557,                0.43516,                0.26466,                 1.5525,                 1.1392,                  1.192,                0.00262,                0.00262,                0.00262
                    166,                 1.3535,                0.89246,                  1.155,                0.70445,                0.39855,                 0.4374,                0.26361,                 1.5512,                 1.1362,                 1.1876,               0.002575,               0.002575,               0.002575
                    167,                 1.3374,                0.90882,                 1.1492,                0.68269,                 0.3999,                0.44004,                0.26724,                 1.5491,                 1.1394,                 1.1843,                0.00253,                0.00253,                0.00253
                    168,                 1.3617,                0.90311,                  1.156,                 0.6386,                0.41303,                0.44228,                0.26695,                 1.5537,                 1.1458,                 1.1893,               0.002485,               0.002485,               0.002485
                    169,                 1.3368,                 0.8996,                  1.159,                0.64714,                0.41448,                0.43909,                0.26649,                  1.539,                 1.1455,                 1.1857,                0.00244,                0.00244,                0.00244
                    170,                 1.3429,                0.89932,                 1.1591,                0.65178,                0.40582,                0.43704,                0.26681,                 1.5416,                 1.1464,                 1.1844,               0.002395,               0.002395,               0.002395
                    171,                 1.3336,                0.90283,                 1.1554,                0.65557,                0.40583,                0.43509,                  0.263,                 1.5661,                 1.1457,                  1.189,                0.00235,                0.00235,                0.00235
                    172,                 1.3319,                0.89041,                 1.1439,                0.64607,                0.41692,                0.43914,                0.26442,                  1.558,                 1.1341,                 1.1869,               0.002305,               0.002305,               0.002305
                    173,                 1.3335,                0.89342,                 1.1538,                0.64978,                0.41367,                0.44086,                 0.2676,                 1.5522,                 1.1435,                 1.1858,                0.00226,                0.00226,                0.00226
                    174,                 1.3283,                0.88642,                 1.1525,                0.66975,                0.41117,                0.44184,                0.26794,                 1.5574,                 1.1424,                 1.1892,               0.002215,               0.002215,               0.002215
                    175,                 1.3387,                0.89909,                 1.1587,                0.66951,                 0.4067,                0.44044,                0.26625,                 1.5541,                 1.1343,                 1.1871,                0.00217,                0.00217,                0.00217
                    176,                 1.3053,                0.86553,                 1.1445,                0.67299,                0.40859,                0.44827,                0.27123,                  1.552,                 1.1318,                 1.1864,               0.002125,               0.002125,               0.002125
                    177,                  1.337,                0.88568,                 1.1416,                0.68088,                0.41609,                0.44808,                0.27104,                 1.5592,                 1.1229,                 1.1882,                0.00208,                0.00208,                0.00208
                    178,                 1.3256,                0.88284,                 1.1416,                0.66597,                0.41312,                0.44395,                0.26897,                 1.5468,                  1.124,                 1.1876,               0.002035,               0.002035,               0.002035
                    179,                 1.3226,                0.89445,                 1.1577,                0.68474,                0.40358,                0.44157,                0.26858,                 1.5651,                 1.1452,                 1.1915,                0.00199,                0.00199,                0.00199
                    180,                 1.3156,                0.87565,                 1.1465,                0.66955,                0.40506,                0.44214,                0.26864,                 1.5594,                 1.1309,                 1.1868,               0.001945,               0.001945,               0.001945
                    181,                 1.3242,                0.89434,                 1.1523,                0.67234,                0.41305,                0.44438,                0.26741,                  1.559,                 1.1286,                 1.1881,                 0.0019,                 0.0019,                 0.0019
                    182,                 1.3297,                0.89534,                 1.1556,                0.68076,                0.41359,                0.44101,                0.26768,                 1.5587,                 1.1358,                  1.189,               0.001855,               0.001855,               0.001855
                    183,                 1.3111,                0.87641,                  1.153,                0.66656,                0.40418,                0.44185,                0.26927,                 1.5475,                 1.1301,                  1.186,                0.00181,                0.00181,                0.00181
                    184,                 1.3248,                0.87932,                 1.1469,                0.70439,                0.39985,                0.44285,                0.26978,                 1.5432,                 1.1288,                 1.1863,               0.001765,               0.001765,               0.001765
                    185,                 1.3088,                0.86956,                  1.134,                0.69184,                0.41742,                0.44538,                0.27007,                 1.5388,                 1.1215,                 1.1839,                0.00172,                0.00172,                0.00172
                    186,                 1.3003,                0.86549,                 1.1407,                0.69104,                0.41541,                 0.4456,                0.26908,                 1.5546,                 1.1254,                 1.1851,               0.001675,               0.001675,               0.001675
                    187,                 1.3191,                0.87541,                 1.1512,                0.68205,                0.41892,                 0.4461,                0.26893,                  1.566,                  1.124,                 1.1861,                0.00163,                0.00163,                0.00163
                    188,                 1.3244,                0.88259,                 1.1487,                0.67846,                0.40462,                0.44204,                0.26791,                 1.5502,                 1.1297,                 1.1855,               0.001585,               0.001585,               0.001585
                    189,                 1.2997,                0.86456,                  1.135,                0.65209,                0.41731,                0.44079,                0.26839,                 1.5609,                 1.1287,                 1.1854,                0.00154,                0.00154,                0.00154
                    190,                 1.3187,                 0.8736,                 1.1312,                0.62857,                0.42406,                0.44204,                0.26965,                 1.5537,                 1.1189,                 1.1841,               0.001495,               0.001495,               0.001495
                    191,                 1.2914,                0.85876,                 1.1308,                 0.6474,                0.41615,                0.44273,                  0.271,                  1.541,                 1.1309,                  1.182,                0.00145,                0.00145,                0.00145
                    192,                 1.3142,                0.86398,                 1.1347,                0.67983,                  0.414,                0.44524,                 0.2709,                   1.55,                  1.131,                   1.18,               0.001405,               0.001405,               0.001405
                    193,                  1.305,                0.86398,                 1.1322,                0.67403,                0.41609,                0.44463,                0.26999,                 1.5577,                 1.1366,                 1.1822,                0.00136,                0.00136,                0.00136
                    194,                  1.307,                0.85667,                 1.1302,                 0.6667,                0.41639,                0.44415,                0.27093,                 1.5303,                 1.1178,                 1.1786,               0.001315,               0.001315,               0.001315
                    195,                 1.2939,                0.86854,                 1.1304,                0.67308,                0.41682,                0.44481,                0.27071,                 1.5477,                 1.1303,                 1.1838,                0.00127,                0.00127,                0.00127
                    196,                 1.2925,                 0.8403,                 1.1311,                 0.6641,                0.42781,                0.44804,                0.27385,                 1.5455,                 1.1308,                 1.1827,               0.001225,               0.001225,               0.001225
                    197,                 1.2922,                0.85385,                 1.1314,                0.66349,                0.42333,                0.44969,                0.27294,                 1.5535,                 1.1185,                 1.1818,                0.00118,                0.00118,                0.00118
                    198,                 1.3058,                0.86835,                 1.1197,                0.68534,                0.41799,                0.44845,                 0.2721,                 1.5438,                 1.1241,                 1.1805,               0.001135,               0.001135,               0.001135
                    199,                  1.317,                0.86063,                 1.1272,                0.68513,                0.41482,                0.44663,                0.27219,                  1.546,                 1.1261,                  1.181,                0.00109,                0.00109,                0.00109
                    200,                 1.2936,                0.85694,                  1.135,                 0.6776,                0.41715,                0.44673,                0.27172,                 1.5412,                  1.113,                 1.1803,               0.001045,               0.001045,               0.001045
