epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1393.91,1.49867,1.24235,1.08747,0.44041,0.35099,0.34833,0.20477,1.44627,1.18646,1.06954,0.03226,0.03226,0.03226
45,1420.62,1.4876,1.24333,1.0912,0.45924,0.34754,0.35198,0.20793,1.44606,1.18593,1.07225,0.03208,0.03208,0.03208
46,1448.22,1.48206,1.23783,1.0846,0.44821,0.35288,0.35172,0.20795,1.43846,1.18398,1.06829,0.0319,0.0319,0.0319
47,1477.03,1.49527,1.22923,1.08603,0.45263,0.34852,0.35357,0.20833,1.44702,1.1858,1.06715,0.03172,0.03172,0.03172
48,1505.33,1.48276,1.21837,1.08469,0.46594,0.34387,0.35163,0.20847,1.44784,1.18684,1.06726,0.03154,0.03154,0.03154
49,1532.86,1.48261,1.22597,1.08093,0.45982,0.35181,0.35314,0.21049,1.43672,1.17044,1.06557,0.03136,0.03136,0.03136
50,1559.9,1.46959,1.20587,1.07412,0.45475,0.34768,0.34776,0.20458,1.44344,1.18383,1.06603,0.03118,0.03118,0.03118
51,1586.77,1.47409,1.21314,1.07719,0.45719,0.35816,0.35682,0.21064,1.43827,1.1692,1.06365,0.031,0.031,0.031
52,1613.4,1.4823,1.21674,1.0806,0.46384,0.35827,0.3643,0.21609,1.43081,1.15881,1.06148,0.03082,0.03082,0.03082
53,1639.77,1.49263,1.22403,1.08135,0.45869,0.35518,0.35579,0.21165,1.43743,1.17026,1.0604,0.03064,0.03064,0.03064
54,1666.53,1.45746,1.20525,1.07353,0.46781,0.35678,0.36351,0.21535,1.43065,1.16452,1.05603,0.03046,0.03046,0.03046
55,1693.27,1.50154,1.22975,1.0782,0.46074,0.35618,0.3611,0.21405,1.42175,1.15363,1.05757,0.03028,0.03028,0.03028
56,1720.44,1.47658,1.20629,1.07442,0.46728,0.35924,0.36323,0.21535,1.43621,1.1652,1.05658,0.0301,0.0301,0.0301
57,1747.26,1.48162,1.20242,1.08035,0.46281,0.35519,0.3641,0.21745,1.4247,1.15675,1.05661,0.02992,0.02992,0.02992
58,1774.2,1.50802,1.23103,1.08524,0.46521,0.36697,0.36782,0.2172,1.42697,1.15191,1.05659,0.02974,0.02974,0.02974
59,1800.58,1.47398,1.21449,1.07029,0.47214,0.34681,0.36263,0.21619,1.42389,1.15668,1.0525,0.02956,0.02956,0.02956
60,1827.13,1.46215,1.18051,1.06566,0.46644,0.36005,0.37091,0.22194,1.41652,1.14866,1.05215,0.02938,0.02938,0.02938
61,1853.84,1.48381,1.20546,1.07116,0.46921,0.36382,0.37036,0.21987,1.41942,1.14257,1.05026,0.0292,0.0292,0.0292
62,1881.82,1.47416,1.195,1.07377,0.46429,0.36021,0.36735,0.21878,1.41855,1.14663,1.04921,0.02902,0.02902,0.02902
63,1908.24,1.43846,1.17243,1.06257,0.4665,0.36429,0.37442,0.22228,1.41618,1.13338,1.04899,0.02884,0.02884,0.02884
64,1934.86,1.46648,1.20517,1.06973,0.46773,0.36534,0.37084,0.22042,1.41857,1.13924,1.05067,0.02866,0.02866,0.02866
65,1961.55,1.45037,1.17914,1.06613,0.46405,0.36895,0.37319,0.22385,1.41571,1.1365,1.04909,0.02848,0.02848,0.02848
66,1987.95,1.46434,1.1774,1.06155,0.47684,0.36671,0.37788,0.22622,1.41316,1.13096,1.04784,0.0283,0.0283,0.0283
67,2014.76,1.46924,1.18075,1.06175,0.48588,0.36075,0.37361,0.22383,1.41599,1.12828,1.04701,0.02812,0.02812,0.02812
68,2041.26,1.4498,1.16524,1.05855,0.47708,0.37308,0.37728,0.22574,1.41374,1.12888,1.04642,0.02794,0.02794,0.02794
69,2067.85,1.45154,1.16592,1.05603,0.48606,0.36154,0.37615,0.22585,1.40947,1.13311,1.04533,0.02776,0.02776,0.02776
70,2094.65,1.46713,1.18158,1.06957,0.47049,0.37398,0.37722,0.22591,1.41115,1.12954,1.04522,0.02758,0.02758,0.02758
71,2121.23,1.4646,1.17865,1.05942,0.4695,0.37753,0.37922,0.22538,1.41232,1.12693,1.04481,0.0274,0.0274,0.0274
72,2148.32,1.44586,1.1611,1.0568,0.49003,0.36562,0.38279,0.22855,1.41001,1.12018,1.04482,0.02722,0.02722,0.02722
73,2175.34,1.47511,1.18122,1.06421,0.48509,0.36508,0.37776,0.22602,1.41132,1.12827,1.04498,0.02704,0.02704,0.02704
74,2202.56,1.4412,1.15006,1.05387,0.47896,0.36784,0.38086,0.22796,1.40937,1.12137,1.04282,0.02686,0.02686,0.02686
75,2229.62,1.46397,1.16493,1.05608,0.4816,0.37597,0.38223,0.22873,1.40539,1.11988,1.04121,0.02668,0.02668,0.02668
76,2256.43,1.44235,1.15077,1.0498,0.48495,0.37701,0.38417,0.22887,1.40351,1.1158,1.04108,0.0265,0.0265,0.0265
77,2283,1.46368,1.16448,1.05313,0.48012,0.37369,0.38467,0.22993,1.405,1.11392,1.04041,0.02632,0.02632,0.02632
